n	Warshall1	Warshall2	Warshall3
16	214138		49919		501989
32	1670186		447871		1591342
48	2446962		2145582		2973211
64	2869174		2134385		5406643
80	1846068		3126234		3680474
96	2820655		1107548		3079580
112	2095664		1844202		4179197
128	2870107		3102907		6852427
144	3972056		4595344		10317830
160	5159848		6963928		14908509
176	7952511		10192333	21249149
192	11951627	12691546	25991451
208	11060549	16107030	35441064
224	12979397	19935861	43709885
240	16474191	25928003	56135974
256	20012372	34244875	73507773
272	25064451	41141624	82767507
288	26743501	46181573	100143506
304	27446099	55644249	119851232
320	37659893	63483392	136739237
336	37139242	81751400	172677626
352	42603736	88771312	187481164
368	46950885	109893565	247536943
384	53484670	120642938	256567610
400	62951078	140694032	285115191
416	66194878	156664835	320240880
432	74522481	175702154	362800762
448	83619862	207570514	410487834
464	87622244	241099728	456347033
480	86596338	263893567	501374404
496	99402652	270438549	562243816
512	114560755	305033325	618948959
528	127666116	325612534	685906151
544	143527750	354010358	753328009
560	151289915	398407445	812808086
576	164242253	425885268	881778365
592	176685139	465984659	963819015
608	190987155	503543780	1037875430
624	202076162	550901014	1143336938
640	223789512	588323908	1281405326
656	239361896	645743312	1339302926
672	253899044	701692206	1417707889
688	273434621	755809028	1524466357
704	292007274	841538082	1640410380
720	333240804	881511509	1763985474
736	347878724	1009846165	1906951985
752	377240872	1036205245	2047566707
768	408473814	1101427402	2193099613
784	412894675	1156651772	2386595312
800	424343845	1218534957	2418270993
816	449867831	1293600949	2556951473
832	444632872	1370046943	2727420066
848	504117614	1453678001	2880567248
864	524161711	1539136467	3032417002
880	572740327	1620251517	3258681934
896	621431843	1716816719	3423136460
912	638078185	1832741615	3614196393
928	657643153	1928694726	4046911229
944	679867822	2037911820	4092987366
960	769853985	2125660027	4270915346
976	791582263	2228961489	4428786634
992	934085041	2360194712	4671372734
1008	909244059	2491356089	4904095874
1024	818700390	2599171718	5136775160
1040	878358683	2716952480	5384599954
1056	927164034	2838152923	5679286523
1072	1012751263	3020965031	5929620327
1088	1020610000	3144611971	6207800981
1104	1101687261	3320283801	6563799234
1120	1121465435	3394096686	6730793096
1136	1184779941	3597433419	7064270899
1152	1173669473	3855108576	7382156723
1168	1230938187	3886813650	7755460995
1184	1284993893	4039705637	7999179370
1200	1331693316	4242986386	8445032223
1216	1491778300	4574400250	8715395661
1232	1439173976	4588175084	9041488723
1248	1564096882	4766137122	9450783168
1264	1546434899	4930057002	9778062155
1280	1623755175	5094096313	10208084166
1296	1765765762	5316676573	10528688008
1312	1745535052	5482704246	11462745991
1328	2135182886	5765661725	11461722885
1344	1847688845	5968975131	11769948225
1360	1839585644	6546466623	12186852278
1376	1943938672	6567453582	12723242736
1392	2007512104	6631939086	13167068973
1408	2065311733	6980069270	13559548191
1424	2197716884	7105250169	14009379633
1440	2296320833	7319475766	14440341707
1456	2287750633	7797426047	15101325698
1472	2322952366	7855459875	15455652833
1488	2510140548	8059214154	15988981438
